カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WXDi-P02-068,蒼将　ヒジカタ,シグニ,奏像：武勇,青,2,-,7000,【常】：このターンにあなたが手札を１枚以上捨てていた場合、このシグニのパワーは＋3000される。【常】：このターンにあなたが手札を２枚以上捨てていた場合、このシグニは「【自】：このシグニがバトルによって対戦相手のシグニをバニッシュしたとき、対戦相手の手札を１枚見ないで選び、捨てさせる。」を得る。,―,―
WXDi-P02-070,大罠　ウソスイ,シグニ,奏武：トリック,青,3,-,12000,【出】：あなたのシグニゾーンに裏向きのカードがある場合、カードを１枚引く。,―,―
WXDi-P02-072,翠天　カマプアア,シグニ,奏像：天使,緑,1,-,1000,【自】：このシグニがアタックしたとき、あなたのエナゾーンから＜天使＞のシグニ２枚をトラッシュに置いてもよい。そうした場合、【エナチャージ３】をする。,―,―
WXDi-P02-060,コードアート　Ｓトーブ,シグニ,奏械：電機,赤,2,-,7000,【常】：あなたのトラッシュにスペルがあるかぎり、このシグニのパワーは＋3000される。【出】《赤》《赤》《赤》：あなたのトラッシュにスペルが５枚以上ある場合、ターン終了時まで、このシグニは【アサシン】を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える）,―,―
WXDi-P02-062,紅将　ブーディカ,シグニ,奏像：武勇,赤,3,-,10000,【常】：このシグニが中央のシグニゾーンにあるかぎり、このシグニのパワーは＋5000される。,―,―
WXDi-P02-063,騒音の調和,スペル,-,赤,-,《赤》×２,-,あなたのレベル３の赤のシグニ１体を対象とし、ターン終了時まで、それは【ダブルクラッシュ】を得る。（【ダブルクラッシュ】を持つシグニがアタックによってダメージを与えた場合ライフクロスを１枚ではなく２枚クラッシュする）,―,―
WXDi-P02-080,連奏,スペル,-,緑,-,《緑》×１ 《無》×１,-,【エナチャージ３】をする。（あなたのデッキの上からカードを３枚エナゾーンに置く）,―,―
WXDi-P02-066,幻水　チンアナゴ,シグニ,奏生：水獣,青,1,-,3000,【常】：あなたの手札が４枚以上あるかぎり、このシグニのパワーは＋4000される。,ライフバースト：あなたの手札が４枚以上ある場合、対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-P02-065,コードメイズ　スノミュ,シグニ,奏械：迷宮,青,1,-,2000,【自】：あなたのターン終了時、対戦相手の場に凍結状態のシグニが２体以上ある場合、対戦相手の凍結状態のシグニ１体を対象とし、それをデッキの一番下に置く。【出】：対戦相手の中央のシグニゾーンにあるシグニ１体を対象とし、それを凍結する。,―,―
WXDi-P02-078,コードメイズ　フジサパ,シグニ,奏械：迷宮,緑,3,-,10000,【起】《緑》《無》《無》：対戦相手のパワー10000以上のシグニ１体を対象とし、それとこのシグニをデッキの一番下に置く。,―,―
WXDi-P02-076,ツヴァイ＝ドクゼリ,シグニ,奏武：毒牙,緑,2,-,8000,【起】《緑》《黒》《無》このシグニを場からトラッシュに置く：対戦相手のシグニ１体を対象とし、それをバニッシュする。,―,―
WXDi-P02-075,翠魔　シトリー,シグニ,奏像：悪魔,緑,2,-,10000,―,ライフバースト：【エナチャージ１】をする。その後、あなたのエナゾーンからシグニを１枚まで対象とし、それを手札に加えるか場に出す。,―
WXDi-P02-064,蒼天　ヘケト,シグニ,奏像：天使,青,1,-,3000,【出】：あなたのデッキの上からカードを３枚見る。その中から好きな枚数のカードを好きな順番でデッキの一番下に置き、残りを好きな順番でデッキの一番上に戻す。,―,―
WXDi-P02-083,羅原　Ｍｏ,シグニ,奏羅：原子,黒,1,-,3000,【自】：対戦相手のレベル２以下のシグニ１体がこのシグニの正面のシグニゾーンに出たとき、このシグニを場からトラッシュに置いてもよい。そうした場合、正面にあったそのシグニをトラッシュに置く。,ライフバースト：対戦相手のシグニ１体を対象とし、《黒》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－8000する。,―
WXDi-P02-073,羅星　オフューカス,シグニ,奏羅：宇宙,緑,1,-,2000,【出】：あなたの手札からレベル１のシグニを１枚までエナゾーンに置く。,ライフバースト：【エナチャージ２】をする。その後、あなたのエナゾーンからシグニを１枚まで対象とし、それを手札に加える。,―
WXDi-P02-067,蒼天　ガギエル,シグニ,奏像：天使,青,2,-,8000,【自】：このシグニがアタックしたとき、カードを１枚引き、手札を１枚捨てる。【出】：カードを１枚引き、手札を１枚捨てる。,ライフバースト：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。カードを１枚引く。,―
WXDi-P02-069,羅星　ドラド,シグニ,奏羅：宇宙,青,2,-,10000,―,ライフバースト：カードを２枚引く。対戦相手は手札を１枚捨てる。,―
WXDi-P02-071,SPINNING　HARMONY,スペル,-,青,-,《青》×１,-,対戦相手のシグニ１体を対象とし、それを凍結する。カードを１枚引く。その後、対戦相手の場に凍結状態のシグニが３体以上ある場合、追加で対戦相手の手札を１枚見ないで選び、捨てさせる。,―,―
WXDi-P02-081,凶天　ニュクス,シグニ,奏像：天使,黒,1,-,2000,【出】：あなたの場に＜天使＞のシグニが３体以上ある場合、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。（パワーが０以下のシグニはルールによってバニッシュされる）,―,―
WXDi-P02-082,凶魔　ガミジン,シグニ,奏像：悪魔,黒,1,-,1000,【自】：このカードがあなたのデッキからトラッシュに置かれたとき、あなたのターンの場合、対戦相手のシグニ１体を対象とし、《黒》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－3000する。,―,―
WXDi-P02-079,幻獣　フェネック,シグニ,奏生：地獣,緑,3,-,10000,【自】：各アタックフェイズ開始時、シグニ１体を対象とし、ターン終了時まで、このシグニの基本パワーはそれのパワーと同じ値になる。【自】《ターン１回》：あなたのパワー15000以上のシグニ１体がアタックしたとき、【エナチャージ１】をする。,ライフバースト：【エナチャージ１】をする。このターン、次にシグニがアタックしたとき、そのアタックを無効にする。,―
WXDi-P02-087,羅星　トゥカナ,シグニ,奏羅：宇宙,黒,3,-,10000,【出】《無》《無》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。（パワーが０以下のシグニはルールによってバニッシュされる）,―,―
WXDi-P02-077,幻水　オオミズゴケ,シグニ,奏生：水獣,緑,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたの手札が６枚以上ある場合、《緑》を支払ってもよい。そうした場合、ターン終了時まで、このシグニは【ランサー】を得る。（【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,―
WXDi-P02-084,凶天　エレボス,シグニ,奏像：天使,黒,2,-,3000,【出】：ターン終了時まで、対戦相手のすべてのシグニのパワーを－1000する。（パワーが０以下のシグニはルールによってバニッシュされる）,―,―
WXDi-P02-074,幻水　キュウセン,シグニ,奏生：水獣,緑,1,-,2000,【自】：このシグニがアタックしたとき、このターンにあなたのデッキからカードが１枚以上エナゾーンに移動していた場合、対戦相手のパワー8000以下のシグニ１体を対象とし、《緑》《無》を支払ってもよい。そうした場合、それをバニッシュする。,―,―
WXDi-P02-085,凶将　チンキュウ,シグニ,奏像：武勇,黒,2,-,10000,―,ライフバースト：あなたのトラッシュから《ガードアイコン》を持たないシグニを２枚まで対象とし、それらを手札に加える。,―
WXDi-P02-091,羅石　シルヴァーナ,シグニ,奏羅：宝石,赤青,2,-,10000,（エナコストを支払う際、このカードは赤か青１つとして支払える）,―,―
WXDi-P02-092,幻獣　パンダダ,シグニ,奏生：地獣,赤緑,1,-,5000,（エナコストを支払う際、このカードは赤か緑１つとして支払える）,―,―
WXDi-P07-008,武踊の記憶　リル,ルリグ,リル,赤,3,-,-,【自】《ターン１回》：《ライズアイコン》を持つあなたのシグニ１体が場に出たとき、手札を１枚捨ててもよい。そうした場合、カードを１枚引く。【起】《ターン１回》《赤×0》：あなたの場にいるアシストルリグのレベルの合計が１以上の場合、《コインアイコン》を得る。４以上の場合、追加で《コインアイコン》を得る。【起】《ゲーム１回》《赤×0》：対戦相手のシグニ１体を対象とし、それをバニッシュする。,―,―
WXDi-P02-086,凶魔　アガレス,シグニ,奏像：悪魔,黒,2,-,8000,【起】《ターン１回》デッキの上からカードを２枚トラッシュに置く：ターン終了時まで、このシグニのパワーを＋2000する。,ライフバースト：あなたのトラッシュから黒のシグニ１枚を対象とし、それを手札に加える。対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－3000する。,―
WXDi-P02-094,幻水　スイギュウ,シグニ,奏生：水獣,青緑,1,-,5000,（エナコストを支払う際、このカードは青か緑１つとして支払える）,―,―
WXDi-P02-088,コードアート　Eヤーホ,シグニ,奏械：電機,黒,3,-,10000,【自】《ターン１回》：いずれかのプレイヤーがスペルを使用したとき、【エナチャージ１】をする。【出】《黒》《黒》：あなたのトラッシュから黒のスペル１枚を対象とし、それを手札に加える。,―,―
WXDi-P07-010,でじたるあーや！Ⅲ,ルリグ,あや,青,3,-,-,【自】：このルリグがアタックしたとき、対戦相手のデッキの一番上を公開する。それがレベル１のシグニの場合、①を行う。レベル２のシグニの場合、②を行う。レベル３のシグニの場合、①か②を行う。スペルの場合、①と②を行う。①カードを１枚引く。②対戦相手は手札を１枚捨てる。【起】《ゲーム１回》《青×0》：対戦相手のシグニ１体を対象とし、それを裏向きにする。各アタックフェイズ開始時、裏向きのそれと同じ場所にシグニがない場合、対戦相手は《無》《無》を支払うか手札を２枚捨ててもよい。そうした場合、それを表向きにする。,―,―
WXDi-P07-003,まっすぐオーネスト,ピース,-,赤,-,《赤》×１,-,このゲームの間、あなたのセンタールリグは以下の能力を得る。（グロウしても新しいセンタールリグは能力を得たままである）『【起】《メインフェイズアイコン》《アタックフェイズアイコン》エクシード４（あなたのルリグの下からカードを合計４枚ルリグトラッシュに置く）：対戦相手のレベル１のシグニ１体を対象とし、それをバニッシュする。』,―,メインフェイズ
WXDi-P02-089,サーチ・ライト,スペル,-,黒,-,《黒》×１,-,各プレイヤーは自分のデッキの上からカードを３枚トラッシュに置く。その後、あなたのトラッシュにカードが２５枚以上ある場合、あなたのトラッシュから《ガードアイコン》を持たないシグニ１枚を対象とし、それを手札に加える。,―,―
WXDi-P07-001,キラキラ☆メモリーズ,ピース,-,白,-,《白》×１ 《無》×２,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）あなたのレベル３のルリグ１体を対象とし、ターン終了時まで、それは以下の能力を得る。『【自】《ターン１回》：このルリグがアタックしたとき、対戦相手のライフクロス１枚を手札に加えさせる。その後、あなたの手札からシグニを１枚まで場に出す。そのシグニの【出】能力は発動しない。』,―,メインフェイズ
WXDi-P02-095,幻水　アマケロン,シグニ,奏生：水獣,青緑,2,-,10000,（エナコストを支払う際、このカードは青か緑１つとして支払える）,―,―
WXDi-P02-090,羅石　ブロンズ,シグニ,奏羅：宝石,赤青,1,-,5000,（エナコストを支払う際、このカードは赤か青１つとして支払える）,―,―
WXDi-P07-006,発進！WIXOSSロボ,ピース,-,無,-,《無》×０,-,このゲームの間にあなたが《コインアイコン》を得ていない場合、《コインアイコン》《コインアイコン》《コインアイコン》《コインアイコン》《コインアイコン》を得る。このゲームの間、あなたは《コインアイコン》を得られない。,―,メインフェイズ
WXDi-P07-013,純真の記憶　リル,ルリグ,リル,赤,0,-,-,―,―,―
WXDi-P07-005,瞬間explosion,ピース,-,黒,-,《黒》×１,-,このゲームの間、あなたのセンタールリグは以下の能力を得る。（グロウしても新しいセンタールリグは能力を得たままである）『【起】《メインフェイズアイコン》《アタックフェイズアイコン》エクシード４（あなたのルリグの下からカードを合計４枚ルリグトラッシュに置く）：あなたのトラッシュからシグニ１枚を対象とし、それを能力を持たないシグニとして場に出す。ターン終了時、それを場からトラッシュに置く。』,―,メインフェイズ
WXDi-P02-093,幻獣　コアララ,シグニ,奏生：地獣,赤緑,2,-,10000,（エナコストを支払う際、このカードは赤か緑１つとして支払える）,―,―
WXDi-P07-007,まほまほ☆さ～ん,ルリグ,まほまほ,黒,3,-,-,【自】：あなたのアタックフェイズ開始時、対戦相手は以下の２つから１つを選び、あなたはそれを行う。①対戦相手のデッキの上からカードを４枚トラッシュに置く。②あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。【出】：あなたのトラッシュからシグニ１枚を対象とし、それを場に出す。【起】《ゲーム１回》《黒×0》：以下を３回行う。「対戦相手は手札を１枚捨てるか《無》を支払わないかぎり、自分のデッキの上からカードを４枚トラッシュに置く。」,―,―
WXDi-P02-096,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-P07-002,ENERGY DOOR,ピース,-,緑,-,《緑》×１ 《無》×２,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）以下の４つからあなたのセンタールリグのレベル１につき１つまで選ぶ。①あなたのトラッシュから《ガードアイコン》を持たないカードを２枚まで対象とし、それらをエナゾーンに置く。②カードを２枚引く。③対戦相手のレベル３以上のシグニ１体を対象とし、それをバニッシュする。④次の対戦相手のターンの間、あなたが対戦相手のルリグによって最初にダメージを受ける場合、代わりにダメージを受けない。,―,メインフェイズ
WXDi-P07-014,求新の記憶　リル,ルリグ,リル,赤,1,-,-,―,―,―
WXDi-P07-011,まほまほ☆いち,ルリグ,まほまほ,黒,1,-,-,―,―,―
WXDi-P07-012,まほまほ☆にっ,ルリグ,まほまほ,黒,2,-,-,―,―,―
WXDi-P07-018,ドーナ　SECOND,ルリグ,ドーナ,白,2,-,-,―,―,―
WXDi-P07-009,ドーナ　SUN,ルリグ,ドーナ,白,3,-,-,【自】：あなたのアタックフェイズ開始時、あなたのレベル３の白のシグニ１体を対象とし、次の対戦相手のターン終了時まで、それは「【常】：対戦相手のターンの間、このシグニは【シャドウ（シグニ）】を得る。」を得る。【起】《ゲーム１回》《白×0》：あなたのトラッシュからそれぞれ共通する色を持つシグニ２枚を対象とし、それらを手札に加える。（無色は色に含まれない）,―,―
WXDi-P07-004,Can’t stop Pretty!,ピース,-,青,-,《青》×１,-,このゲームの間、あなたのセンタールリグは以下の能力を得る。（グロウしても新しいセンタールリグは能力を得たままである）『【起】《メインフェイズアイコン》《アタックフェイズアイコン》エクシード４（あなたのルリグの下からカードを合計４枚ルリグトラッシュに置く）：対戦相手のシグニ１体を対象とし、対戦相手が手札を３枚捨てないかぎり、それをダウンする。』,―,メインフェイズ
WXDi-P07-020,ぴこぴこあーや！Ⅰ,ルリグ,あや,青,1,-,-,―,―,―
WXDi-P07-019,あーや！０,ルリグ,あや,青,0,-,-,―,―,―
WXDi-P07-021,ぐれーとあーや！Ⅱ,ルリグ,あや,青,2,-,-,―,―,―
WXDi-P07-017,ドーナ　FIRST++,ルリグ,ドーナ,白,1,-,-,―,―,―
WXDi-P07-016,ドーナ　START,ルリグ,ドーナ,白,0,-,-,―,―,―
WXDi-P07-015,明滅の記憶　リル,ルリグ,リル,赤,2,-,-,―,―,―
WXDi-P07-039,聖将姫　ゆきめ//メモリア,シグニ,奏像：武勇,白,3,-,12000,【常】：アタックフェイズの間、このシグニの正面のシグニがバニッシュされる場合、エナゾーンに置かれる代わりにトラッシュに置かれる。【自】：あなたのアタックフェイズ開始時、数字１つを宣言する。対戦相手のデッキの一番上を公開し、そのカードが宣言された数字と同じレベルのシグニの場合、カードを１枚引く。【起】《コインアイコン》：対戦相手はデッキの一番上と手札を公開する。,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、それをトラッシュに置く。,―
WXDi-P07-043,蒼天姫　ブリュンヒルデ,シグニ,奏像：天使,青,3,-,10000,【自】《ターン２回》：あなたの＜天使＞のシグニ１体が場に出たとき、カードを１枚引いてもよい。そうした場合、手札を１枚捨てる。【自】《ターン１回》：あなたの＜天使＞のシグニ１体がアタックしたとき、対戦相手の手札を１枚見ないで選び、捨てさせる。,ライフバースト：どちらか１つを選ぶ。①対戦相手のシグニ１体を対象とし、手札を２枚捨ててもよい。そうした場合、それをバニッシュする。②対戦相手の手札を１枚見ないで選び、捨てさせる。,―
WXDi-P07-022,みこみこ☆がっちゃん,アシストルリグ,みこみこ,青,1,-,-,【出】：対戦相手のレベル１のシグニ１体を対象とし、それをデッキの一番下に置く。,―,メインフェイズ
WXDi-P07-025,みこみこ☆ずばしゃーん,アシストルリグ,みこみこ,青,2,-,-,【出】：対戦相手のシグニ１体を対象とし、それをデッキの一番下に置く。【出】手札を３枚捨てる：対戦相手の手札を見て１枚選び、捨てさせる。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,メインフェイズ アタックフェイズ
WXDi-P07-028,メル・バースト,アシストルリグ,メル,緑,1,-,-,【出】：対戦相手のパワー7000以上のシグニ１体を対象とし、それをバニッシュする。,―,メインフェイズ
WXDi-P07-029,メル・リバイズ,アシストルリグ,メル,緑,1,-,-,【出】：あなたのトラッシュから《ガードアイコン》を持たないカードを２枚まで対象とし、それらをエナゾーンに置く。,―,メインフェイズ
WXDi-P07-027,メル＝レディ,ルリグ,メル,緑,0,-,-,―,―,―
WXDi-P07-023,みこみこ☆きらっきら,アシストルリグ,みこみこ,青,1,-,-,【出】：カードを３枚引き、手札を２枚捨てる。このターンに対戦相手の効果によってあなたの手札からカードが１枚以上トラッシュに移動していた場合、代わりにカードを５枚引き、手札を２枚捨てる。,―,メインフェイズ アタックフェイズ
WXDi-P07-033,ナナシ　其ノ無,ルリグ,ナナシ,黒,0,-,-,―,―,―
WXDi-P07-031,メル・オーバーラン,アシストルリグ,メル,緑,2,-,-,【出】：対戦相手のパワー10000以上のシグニ１体を対象とし、それをバニッシュする。【出】《緑》《無》《無》《無》《無》：あなたのいずれかのシグニよりパワーの低い対戦相手のシグニ１体を対象とし、それをバニッシュする。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,メインフェイズ アタックフェイズ
WXDi-P07-024,みこみこ☆ばしーん,アシストルリグ,みこみこ,青,2,-,-,【出】：対戦相手のシグニを２体まで対象とし、それらをダウンする。【出】《青》《無》：対戦相手のシグニ１体を対象とし、対戦相手が手札を３枚捨てないかぎり、それをダウンする。,―,メインフェイズ アタックフェイズ
WXDi-P07-040,羅星姫　ペガサス,シグニ,奏羅：宇宙,白,3,-,10000,【自】：あなたのアタックフェイズ開始時、あなたの場にレベル１のシグニがある場合、カードを１枚引く。【自】：このシグニがアタックしたとき、あなたのトラッシュにレベル１のシグニが１０枚以上ある場合、【エナチャージ１】をする。【起】エナゾーンからレベル１のシグニ４枚をトラッシュに置く：対戦相手のシグニ１体を対象とし、それをトラッシュに置く。,―,―
WXDi-P07-035,ナナシ・探索,アシストルリグ,ナナシ,黒,1,-,-,【出】：あなたのデッキの上からカードを２枚トラッシュに置く。その後、あなたのトラッシュから《ガードアイコン》を持たないそれぞれレベルの異なるシグニ２枚を対象とし、それらを手札に加える。【出】《無》：対戦相手のすべてのシグニゾーンに【ウィルス】を１つずつ置く。,―,メインフェイズ
WXDi-P07-030,メル・インビジブル,アシストルリグ,メル,緑,2,-,-,【出】：このターン、次にあなたがダメージを受ける場合、代わりにダメージを受けない。【出】手札を２枚捨てる：このターン、次にあなたがダメージを受ける場合、代わりにダメージを受けない。【出】《緑》《無》《無》：このターン、次にあなたがダメージを受ける場合、代わりにダメージを受けない。,―,メインフェイズ アタックフェイズ
WXDi-P07-041,羅星姫　カーニバル//メモリア,シグニ,奏羅：宇宙,赤,3,-,10000,【出】《赤》《コインアイコン》《コインアイコン》《コインアイコン》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それを《サーバント ＺＥＲＯ》にする。（《サーバント ＺＥＲＯ》はレベル１、＜精元＞、パワー1000、無色で能力を持たないシグニである）【起】《ターン１回》《赤×0》：【 】アイコンを持たないシグニ１体を対象とする。このシグニに付いているすべてのカードと、下に置かれているすべてのカードをトラッシュに置く。ターン終了時まで、このシグニはそれと同じカードになる。（【ライズ】と【ハーモニー】は【 】に含まれる）,―,―
WXDi-P07-037,ナナシ・施錠,アシストルリグ,ナナシ,黒,2,-,-,【出】：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－10000する。【出】手札を２枚捨てる：対戦相手の感染状態のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。【出】《黒》《無》《無》：対戦相手の感染状態のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。（【ウィルス】と同じシグニゾーンにあるシグニは感染状態である）,―,メインフェイズ アタックフェイズ
WXDi-P07-034,ナナシ・散布,アシストルリグ,ナナシ,黒,1,-,-,【出】：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。【出】《無》：対戦相手のすべてのシグニゾーンに【ウィルス】を１つずつ置く。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,メインフェイズ
WXDi-P07-044,大幻蟲　アロス・ピルルク//メモリア,シグニ,奏生：凶蟲,青,3,-,12000,【自】《ターン１回》：あなたのメインフェイズの間、あなたがシグニを１枚捨てたとき、そのカードをトラッシュから場に出す。【自】《自分ターン》《ターン１回》：あなたのシグニ１体が手札以外の領域から場に出たとき、対戦相手のシグニ１体を対象とし、それを凍結し、ターン終了時まで、それのパワーを－2000する。【起】《ターン１回》《コインアイコン》《コインアイコン》：対戦相手は手札を１枚捨てる。,―,―
WXDi-P07-026,みこみこ☆ぽいぽい,アシストルリグ,みこみこ,青,2,-,-,【自】：あなたのアタックフェイズ開始時、対戦相手は手札を１枚捨てる。,―,メインフェイズ
WXDi-P07-032,メル・プレゼント,アシストルリグ,メル,緑,2,-,-,【出】：あなたのエナゾーンからシグニ１枚を対象とし、それを場に出す。それの【出】能力は発動しない。【起】《ゲーム１回》《緑》《無》：あなたのシグニ１体を対象とし、ターン終了時まで、それは【ランサー】を得る。（【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,メインフェイズ アタックフェイズ
WXDi-P07-051,聖将　ヤギュウ,シグニ,奏像：武勇,白,1,-,2000,【自】：あなたのターン終了時、このシグニがアップ状態の場合、あなたのデッキの一番上を公開する。そのカードが白の場合、カードを１枚引く。,―,―
WXDi-P07-052,聖魔　ハイティ//メモリア,シグニ,奏像：悪魔,白,1,-,2000,【自】《ターン１回》：あなたのライフクロス１枚がクラッシュされるかトラッシュに置かれたとき、カードを１枚引く。,―,―
WXDi-P07-038,ナナシ・ご選択,アシストルリグ,ナナシ,黒,2,-,-,【起】《ターン１回》対戦相手の場にある【ウィルス】１つを取り除く：以下の３つから１つを選ぶ。①あなたのトラッシュから《ガードアイコン》を持たないシグニ１枚を対象とし、それを手札に加える。②対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－10000する。③【エナチャージ２】,―,メインフェイズ
WXDi-P07-049,透天姫　リワト//メモリア,シグニ,奏像：天使,無,3,-,10000,【自】：あなたのアタックフェイズ開始時、以下の３つから１つを選ぶ。①カードを１枚引くか【エナチャージ１】をする。②対戦相手のレベル１のシグニ１体を対象とし、それをバニッシュする。③対戦相手のシグニ１体を対象とし、《無》《無》《無》を支払ってもよい。そうした場合、それを手札に戻す。【出】：あなたの公開領域に＜天使＞ではない、色を持つ表向きのシグニであるカードがある場合、このシグニを場からトラッシュに置く。,―,―
WXDi-P07-045,翠英姫　ママ//メモリア,シグニ,奏像：英知,緑,3,-,10000,【自】：あなたのアタックフェイズ開始時、あなたの場にあるシグニのパワーの合計が30000の場合、【エナチャージ２】をする。【自】：このシグニがアタックしたとき、このシグニのパワーが13000の場合、次の対戦相手のターン終了時まで、このシグニは【シャドウ（パワー10000以下のシグニ）】を得る。【起】《コインアイコン》：次の対戦相手のターン終了時まで、このシグニのパワーを＋3000する。,―,―
WXDi-P07-042,幻獣神　サラブレッド,シグニ,奏生：地獣,赤,3,-,12000,【自】：あなたのアタックフェイズ開始時、ターン終了時まで、あなたのすべてのシグニのパワーを＋3000する。【自】：あなたのターン終了時、あなたの場にあるシグニのパワーの合計が30000以上の場合、カードを１枚引く。【出】《赤》《無》：あなたのトラッシュからレベル２以下の＜地獣＞のシグニ１枚を対象とし、それを場に出す。ターン終了時まで、それのパワーを＋4000する。,ライフバースト：対戦相手のパワー10000以下のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-P07-036,ナナシ・浄化,アシストルリグ,ナナシ,黒,2,-,-,【出】：対戦相手のシグニ１体を対象とし、それをバニッシュする。それが感染状態の場合、代わりにそれをトラッシュに置く。（【ウィルス】と同じシグニゾーンにあるシグニは感染状態である）【出】《無》《無》：あなたのトラッシュから《ガードアイコン》を持たないシグニ１枚を対象とし、それを手札に加える。,―,メインフェイズ アタックフェイズ
WXDi-P07-063,中装　バルディッシュ,シグニ,奏武：アーム,赤,2,-,8000,【自】：あなたのアタックフェイズ開始時、あなたの場にレベル３のシグニが２体以上ある場合、《赤》《赤》を支払ってもよい。そうした場合、ターン終了時まで、このシグニは「【自】：このシグニがアタックしたとき、対戦相手のパワー12000以下のシグニ１体を対象とし、それをバニッシュする。」を得る。,―,―
WXDi-P07-048,コードハート　Aトマッサージャー,シグニ,奏械：電機,黒,3,-,10000,【自】：このシグニがアタックしたとき、このターンにあなたがスペルを１枚以上使用していた場合、対戦相手のデッキの上からカードを２枚トラッシュに置く。その後、このターンにあなたがスペルを２枚以上使用していた場合、あなたのトラッシュから黒のシグニ１枚を対象とし、それを手札に加える。【出】《黒》：あなたのトラッシュから黒のスペル１枚を対象とし、それを手札に加える。,―,―
WXDi-P07-046,ドライ＝パトラ,シグニ,奏武：毒牙,緑,3,-,10000,【出】《緑》：あなたのエナゾーンからシグニ１枚を対象とし、それを手札に加える。【出】《黒》：あなたのトラッシュから緑のシグニ１枚を対象とし、それを場に出す。【起】《ターン１回》《無》ターン終了時まで、このシグニのパワーを－10000する：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－10000する。この能力はこのシグニのパワーが20000以上の場合にしか使用できない。,―,―
WXDi-P07-047,惨之遊姫　グズ子//メモリア,シグニ,奏武：遊具,黒,3,-,12000,【自】《ターン１回》：対戦相手がダメージを受けたとき、《黒》《黒》《黒》《無》《無》を支払ってもよい。そうした場合、対戦相手のライフクロス１枚をクラッシュする。【自】《ターン１回》：あなたのターンの間、あなたのトラッシュからあなたのシグニ１体が場に出たとき、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－3000する。【起】《ターン１回》《コインアイコン》《コインアイコン》《コインアイコン》：あなたのトラッシュからシグニ１枚を対象とし、それを場に出す。,―,―
WXDi-P07-053,コードアート　Dスペンサー,シグニ,奏械：電機,白,1,-,3000,【出】：あなたの手札からスペルを１枚公開してもよい。そうした場合、次の対戦相手のターン終了時まで、このシグニのパワーを＋5000する。,ライフバースト：対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。カードを１枚引く。,―
WXDi-P07-050,夢限//メモリア,シグニ,奏元,無,3,-,∞,【常】：【マルチエナ】【常】：このシグニは対戦相手の効果によって場から他の領域に移動しない。【起】エクシード４：他のすべてのシグニをトラッシュに置く。このターン、あなたは他のシグニを場に出せない。,―,―
WXDi-P07-055,聖将　モヘイヘ,シグニ,奏像：武勇,白,2,-,10000,―,ライフバースト：どちらか１つを選ぶ。①対戦相手のパワー5000以下のシグニ１体を対象とし、それを手札に戻す。②対戦相手のパワー12000以下のシグニ１体を対象とし、《コインアイコン》を支払ってもよい。そうした場合、それを手札に戻す。,―
